Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
preIncr,regex_internal.c,1111,-,-,+,,,,9.0,i1
preIncr,regex_internal.c,1138,-,-,+,,,,11.0,id
preIncr,regex_internal.c,1237,-,-,+,,,,15.0,sbase
preIncr,regex_internal.c,1271,-,-,+,,,,9.0,id
preIncr,regexec.c,1381,-,-,+,,,,14.0,fs -> num
preIncr,regexec.c,2406,-,-,+,,,,9.0,cur_str_idx
preIncr,regexec.c,3468,-,-,+,,,,32.0,ch
preIncr,regexec.c,3499,-,-,+,,,,32.0,ch
preIncr,remote-ext.c,182,+,+,+,buffer[--i],11.0,			buffer[--i] = 0;,12.0,i
preIncr,remote-fd.c,38,+,+,+,buffer[--i],11.0,			buffer[--i] = 0;,12.0,i
preIncr,remote.c,814,+,+,+,"display_progress(progress, ++refs_renamed_nr)",30.0,"		display_progress(progress, ++refs_renamed_nr);",31.0,refs_renamed_nr
preIncr,remote.c,830,+,+,+,"display_progress(progress, ++refs_renamed_nr)",30.0,"		display_progress(progress, ++refs_renamed_nr);",31.0,refs_renamed_nr
preIncr,remote.c,850,+,+,+,"display_progress(progress, ++refs_renamed_nr)",30.0,"		display_progress(progress, ++refs_renamed_nr);",31.0,refs_renamed_nr
preIncr,reset.c,184,+,+,+,desc[--nr],21.0,		free((void *)desc[--nr].buffer);,22.0,nr
preIncr,rev-list.c,148,+,+,+,"display_progress(progress, ++progress_counter)",29.0,"	display_progress(progress, ++progress_counter);",30.0,progress_counter
preIncr,rev-list.c,288,+,+,+,"display_progress(progress, ++progress_counter)",29.0,"	display_progress(progress, ++progress_counter);",30.0,progress_counter
preIncr,rev-list.c,666,+,+,+,"strcmp(++arg, ""human"")",17.0,"				if (!strcmp(++arg, ""human"")) {",18.0,arg
preIncr,rev-parse.c,738,+,+,+,argv[++i],31.0,				const char *gitdir = argv[++i];,32.0,i
preIncr,rev-parse.c,780,+,+,+,++i >= argc,9.0,				if (++i >= argc),10.0,i
preIncr,rev-parse.c,806,+,+,+,argv[++i],16.0,				def = argv[++i];,17.0,i
preIncr,rev-parse.c,812,+,+,+,argv[++i],19.0,				prefix = argv[++i];,20.0,i
preIncr,revision.c,273,+,+,+,stack->items[--stack->nr],34.0,	return stack->nr ? stack->items[--stack->nr] : NULL;,35.0,stack -> nr
preIncr,revision.c,916,+,+,+,--st->nparents == 1,6.0,	if (--st->nparents == 1) {,7.0,st -> nparents
preIncr,revision.c,4123,+,+,+,++n >= 2,10.0,					if (++n >= 2),11.0,n
preIncr,sequencer.c,602,+,+,+,--buf->len > orig_len,7.0,		if (--buf->len > orig_len && buf->buf[buf->len - 1] == '\r'),8.0,buf -> len
preIncr,sequencer.c,1987,+,+,+,"update_comment_bufs(&buf1, &buf2, ++i)",38.0,"			update_comment_bufs(&buf1, &buf2, ++i);",39.0,i
preIncr,sequencer.c,1994,+,+,+,"update_comment_bufs(&buf1, &buf2, ++i)",38.0,"			update_comment_bufs(&buf1, &buf2, ++i);",39.0,i
preIncr,sequencer.c,2026,+,+,+,++ctx->current_fixup_count + 1,7.0,		    ++ctx->current_fixup_count + 1);,8.0,ctx -> current_fixup_count
preIncr,sequencer.c,2137,+,+,+,++ctx->current_fixup_count + 1,8.0,			    ++ctx->current_fixup_count + 1);,9.0,ctx -> current_fixup_count
preIncr,sequencer.c,4545,+,+,+,++i < todo_list->nr,9.0,	while (++i < todo_list->nr),10.0,i
preIncr,sequencer.c,5779,+,+,+,"strchr(++p1, '\'')",20.0,"		    (p2 = strchr(++p1, '\'')))",21.0,p1
preIncr,setup.c,1453,+,+,+,--offset > ceil_offset,10.0,		while (--offset > ceil_offset && !is_dir_sep(dir->buf[offset])),11.0,offset
preIncr,setup.c,1506,+,-,-,--offset > ceil_offset,,,,
preIncr,sh-i18n--envsubst.c,144,+,+,+,*++string,13.0,	      c = *++string;,14.0,string
preIncr,shell.c,109,+,+,+,--len > 0,8.0,			if (--len > 0 && rawargs[len - 1] == '\r'),9.0,len
preIncr,show-branch.c,973,+,+,+,--extra < 0,28.0,		if (shown_merge_point && --extra < 0),29.0,extra
preIncr,show-ref.c,139,+,+,+,buf[--len],8.0,			buf[--len] = '\0';,9.0,len
preIncr,stash.c,1493,-,+,+,,45.0,"	strbuf_join_argv(&stash_msg_buf, argc - 1, ++argv, ' ');",46.0,argv
preIncr,strbuf.c,140,+,+,+,--sb->len > 0,7.0,		if (--sb->len > 0 && sb->buf[sb->len - 1] == '\r'),8.0,sb -> len
preIncr,strbuf.c,330,+,+,+,"while (--argc){
    strbuf_addch(buf, delim);
    strbuf_addstr(buf, *(++argv));
}
",9.0,	while (--argc) {,10.0,argc
preIncr,strbuf.c,332,+,+,+,*(++argv),24.0,"		strbuf_addstr(buf, *(++argv));",25.0,argv
preIncr,strbuf.c,391,+,+,+,sb->buf[--sb->len],11.0,		sb->buf[--sb->len] = '\0';,12.0,sb -> len
preIncr,syslog.c,49,+,-,+,"st_add(++str_len, 1)",,,30.0,str_len
preIncr,test-dir-iterator.c,26,-,-,+,,,,16.0,argc
preIncr,test-json-writer.c,450,+,+,+,buf[--len],8.0,			buf[--len] = 0;,9.0,len
preIncr,test-json-writer.c,489,+,+,+,state.nr = ++line_nr,14.0,		state.nr = ++line_nr;,15.0,line_nr
preIncr,test-path-utils.c,273,+,+,+,names[i][--len],13.0,			names[i][--len] = (char)(' ' + (my_random() % ('\x7f' - ' ')));,14.0,len
preIncr,test-xml-encode.c,16,-,+,+,,7.0,		if (++cur == len) {,8.0,cur
preIncr,test-xml-encode.c,35,-,+,+,,8.0,			if (--remaining == 0) {,9.0,remaining
preIncr,trace2.c,310,-,-,+,,,,8.0,i
preIncr,transport.c,1615,+,+,+,strlen(++anon_part),20.0,	anon_len = strlen(++anon_part);,21.0,anon_part
preIncr,tree-walk.c,228,+,+,+,path[--pos],8.0,		path[--pos] = '/';,9.0,pos
preIncr,tree-walk.c,592,+,+,+,++entrylen == namelen,7.0,		if (++entrylen == namelen) {,8.0,entrylen
preIncr,unpack-trees.c,107,+,+,+,++idx >= ARRAY_SIZE(buf),6.0,	if (++idx >= ARRAY_SIZE(buf)),7.0,idx
preIncr,unpack-trees.c,459,+,+,+,"display_progress(progress, ++cnt)",31.0,"			display_progress(progress, ++cnt);",32.0,cnt
preIncr,unpack-trees.c,495,+,+,+,"display_progress(progress, ++cnt)",32.0,"				display_progress(progress, ++cnt);",33.0,cnt
preIncr,unpack-trees.c,592,+,+,+,(++count) + i,10.0,	while ((++count) + i < istate->cache_nr &&,11.0,count
preIncr,update-index.c,838,-,+,+,,18.0,"	if (strtoul_ui(*++ctx->argv, 8, &mode) ||",19.0,ctx -> argv
preIncr,update-index.c,839,-,+,+,,19.0,"	    get_oid_hex(*++ctx->argv, &oid) ||",20.0,ctx -> argv
preIncr,update-index.c,840,-,+,+,,33.0,"	    add_cacheinfo(mode, &oid, *++ctx->argv, 0))",34.0,ctx -> argv
preIncr,upload-pack.c,662,+,+,+,get_indexed_object(--i),26.0,		o = get_indexed_object(--i);,27.0,i
preIncr,urlmatch.c,205,+,+,+,++at_ptr - url,15.0,		url_len -= (++at_ptr - url);,16.0,at_ptr
preIncr,urlmatch.c,379,+,+,+,*--prev_slash,12.0,			while (*--prev_slash != '/') {},13.0,prev_slash
preIncr,varint.c,26,+,+,+,varint[--pos],10.0,		varint[--pos] = 128 | (--value & 127);,11.0,pos
preIncr,walker.c,199,+,+,+,"display_progress(progress, ++nr)",30.0,"		display_progress(progress, ++nr);",31.0,nr
preIncr,wildmatch.c,77,+,+,+,*++p,12.0,			p_ch = *++p;,13.0,p
preIncr,wildmatch.c,89,+,+,+,*++p,9.0,			if (*++p == '*') {,10.0,p
preIncr,wildmatch.c,91,+,+,+,*++p,13.0,				while (*++p == '*') {},14.0,p
preIncr,wildmatch.c,172,+,+,+,*++text,13.0,				t_ch = *++text;,14.0,text
preIncr,wildmatch.c,176,+,+,+,*++p,12.0,			p_ch = *++p;,13.0,p
preIncr,wildmatch.c,185,+,+,+,*++p,13.0,				p_ch = *++p;,14.0,p
preIncr,wildmatch.c,193,+,+,+,*++p,14.0,					p_ch = *++p;,15.0,p
preIncr,wildmatch.c,199,+,+,+,*++p,14.0,					p_ch = *++p;,15.0,p
preIncr,wildmatch.c,201,+,+,+,*++p,15.0,						p_ch = *++p;,16.0,p
preIncr,wildmatch.c,271,+,+,+,*++p,38.0,"			} while (prev_ch = p_ch, (p_ch = *++p) != ']');",39.0,p
preIncr,xdiffi.c,75,+,+,+,--fmin - 1,9.0,			kvdf[--fmin - 1] = -1;,10.0,fmin
preIncr,xdiffi.c,79,+,+,+,++fmax + 1,9.0,			kvdf[++fmax + 1] = -1;,10.0,fmax
preIncr,xdiffi.c,112,+,+,+,--bmin - 1,9.0,			kvdb[--bmin - 1] = XDL_LINE_MAX;,10.0,bmin
preIncr,xdiffi.c,116,+,+,+,++bmax + 1,9.0,			kvdb[++bmax + 1] = XDL_LINE_MAX;,10.0,bmax
preIncr,xdiffi.c,785,+,+,+,xdf->rchg[--g->start],13.0,		xdf->rchg[--g->start] = 1;,14.0,g -> start
preIncr,xdiffi.c,786,+,+,+,xdf->rchg[--g->end],13.0,		xdf->rchg[--g->end] = 0;,14.0,g -> end
preIncr,xpatience.c,107,+,+,+,++index >= map->alloc,8.0,			if (++index >= map->alloc),9.0,index
preIncr,xutils.c,328,+,+,+,*--ptr,4.0,		*--ptr = '-';,5.0,ptr
preIncr,xutils.c,332,+,+,+,*--ptr,4.0,"		*--ptr = ""0123456789""[val % 10];",5.0,ptr
